avg_goals_rank,home_adv_rank,country,league,num_games,num_teams,avg_goals,home_advantage_score,left_tail,right_tail,countryCode
143,75,Kenya,Premier League 2017,304,18,2.026315789473684,0.244,0.084,0.40299999999999997,KEN
144,27,Zimbabwe,Premier Soccer League 2017,305,18,2.0229508196721313,0.389,0.228,0.5489999999999999,ZWE
145,25,Montenegro,Prva Crnogorska Liga 2016/2017,197,12,2.020304568527919,0.39799999999999996,0.196,0.599,MNE
146,0,Nigeria,Premier League 2017,379,20,2.0105540897097627,1.195,1.0270000000000001,1.3630000000000002,NGA
147,54,Zambia,Super League 2017,379,20,2.0026385224274406,0.308,0.16399999999999998,0.452,ZMB
148,18,Tanzania,Ligi Kuu Bara 2016/2017,239,16,1.9707112970711298,0.48,0.294,0.665,TZA
149,10,Togo,Championnat National 2016/2017,181,14,1.9337016574585635,0.51,0.293,0.726,TGO
150,142,Gambia,GFA League 2016/2017,131,12,1.9083969465648856,0.032,-0.218,0.281,GMB
151,16,Albania,Super League 2016/2017,180,10,1.8888888888888888,0.488,0.26899999999999996,0.7070000000000001,ALB
152,12,Mozambique,Mocambola 2017,240,16,1.8666666666666667,0.501,0.31,0.6920000000000001,MOZ
153,21,Ethiopia,Premier League 2016/2017,239,16,1.8368200836820083,0.433,0.24100000000000002,0.625,ETH
154,29,Sierra Leone,Premier League 2014,90,14,1.8333333333333333,0.376,0.06,0.691,SLE
155,126,Ivory Coast,Ligue 1 2016/2017,182,14,1.8021978021978022,0.11,-0.107,0.327,CIV
156,43,Cameroon,Elite One 2017,303,18,1.7953795379537953,0.337,0.166,0.508,CMR
157,6,Benin,Championnat National 2017,162,19,1.7777777777777777,0.5710000000000001,0.33,0.8109999999999999,BEN
158,121,Burkina Faso,Premier League 2016/2017,240,16,1.7208333333333334,0.121,-0.07200000000000001,0.314,BFA
159,1,Haiti,Championnat National 2017,237,16,1.7172995780590716,0.741,0.5329999999999999,0.9490000000000001,HTI
